symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
BTC-14NOV25-106000-C-USDT,111921.76333334,8155.34266222,0.0,0.95,0.71436808,2.867e-05,91.32054292,-95.75328796,0.4412,2025-10-24 10:05:22.142854
BTC-14NOV25-88000-C-USDT,111921.97741485,24152.59062426,0.0,0.0,0.96438992,5.06e-06,21.05898587,-28.89755185,0.5774,2025-10-24 10:05:22.478827
BTC-14NOV25-112000-C-USDT,111921.97741485,4415.88618761,0.8,0.8,0.51711105,3.57e-05,107.09788496,-105.78472904,0.4156,2025-10-24 10:05:22.858840
BTC-14NOV25-104000-C-USDT,111921.97741485,9665.96418256,0.0,0.0,0.76727787,2.514e-05,82.12793332,-88.34616966,0.4527,2025-10-24 10:05:23.206569
BTC-14NOV25-111000-C-USDT,111914.32437973,4941.28845223,0.74,0.81,0.5524521,3.515e-05,106.26134288,-105.77649846,0.4189,2025-10-24 10:05:23.538718
BTC-14NOV25-120000-C-USDT,111914.32437973,1563.21514685,1.3,2.5,0.25189771,2.931e-05,85.72365883,-82.54459898,0.4052,2025-10-24 10:05:23.872261
BTC-14NOV25-90000-P-USDT,111793.21872153,299.98175145,7.48,7.48,-0.04610311,6.45e-06,25.94029971,-34.44045607,0.5587,2025-10-24 10:05:24.504405
BTC-14NOV25-109000-P-USDT,111793.21872153,3245.33217507,0.36,0.36,-0.38268965,3.336e-05,102.40990292,-103.74764699,0.4263,2025-10-24 10:05:24.833443
BTC-14NOV25-130000-P-USDT,111793.21872153,18579.31779627,0.0,0.0,-0.92404572,1.258e-05,38.36025217,-38.61874906,0.4236,2025-10-24 10:05:25.166029
BTC-14NOV25-108000-C-USDT,111833.62069084,6705.43547599,0.02,0.88,0.65134458,3.198e-05,99.308461,-101.68395972,0.4309,2025-10-24 10:05:25.498094
BTC-14NOV25-124000-P-USDT,111833.62069084,13040.87321984,0.0,0.0,-0.84167816,2.198e-05,64.87700334,-63.13445079,0.4095,2025-10-24 10:05:25.830123
BTC-14NOV25-120000-P-USDT,111833.62069084,9710.47433651,0.0,0.0,-0.75038347,2.918e-05,85.25014697,-82.11525257,0.4053,2025-10-24 10:05:26.158846
BTC-14NOV25-92000-P-USDT,111837.63026311,384.08082421,11.91,11.91,-0.05855462,8.04e-06,31.37864147,-40.3814905,0.5415,2025-10-24 10:05:26.488723
BTC-14NOV25-132000-C-USDT,111837.63026311,285.50815999,9.3,9.3,0.05981984,1.031e-05,31.90914933,-32.56497841,0.4295,2025-10-24 10:05:26.814788
BTC-14NOV25-98000-C-USDT,111837.63026311,14661.05566507,0.0,0.0,0.87998124,1.511e-05,53.71658627,-62.95244616,0.4932,2025-10-24 10:05:27.147030
BTC-14NOV25-130000-C-USDT,111838.10666667,375.18482885,2.95,3.75,0.07641591,1.263e-05,38.55301305,-38.79452367,0.4234,2025-10-24 10:05:27.475901
BTC-14NOV25-118000-C-USDT,111838.10666667,2038.3360576,11.34,19.98,0.30764888,3.231e-05,94.4099559,-90.94219912,0.4054,2025-10-24 10:05:28.111907
BTC-14NOV25-92000-C-USDT,111835.22300662,20219.40012913,0.0,0.0,0.94143045,8.04e-06,31.38423309,-40.38769119,0.5415,2025-10-24 10:05:28.439844
BTC-14NOV25-102000-C-USDT,111835.22300662,11204.98613176,0.0,0.0,0.81075116,2.169e-05,72.68235975,-80.29702715,0.4649,2025-10-24 10:05:28.773290
