symbol,underlying_price,mark_price,open_interest,volume_24h,delta,gamma,vega,theta,iv,timestamp
SOL-7NOV25-190-P-USDT,193.69,9.74021135,27.0,5.0,-0.41951627,0.01342524,0.14873393,-0.4035988,0.7649,2025-10-24 08:46:19.354647
SOL-7NOV25-170-P-USDT,193.69,3.38421303,251.0,243.0,-0.18515549,0.00862381,0.10164433,-0.29343995,0.8138,2025-10-24 08:46:19.686182
SOL-7NOV25-178-C-USDT,193.69,20.96882076,0.0,0.0,0.73344497,0.0109604,0.12503081,-0.34934906,0.7876,2025-10-24 08:46:20.017834
SOL-7NOV25-186-C-USDT,193.69,15.70230658,0.0,0.0,0.63434181,0.01283155,0.14314191,-0.39111729,0.7702,2025-10-24 08:46:20.346235
SOL-7NOV25-206-C-USDT,193.69,6.80322889,2.0,2.0,0.36882817,0.01296022,0.1435511,-0.38945144,0.7647,2025-10-24 08:46:20.674567
SOL-7NOV25-186-P-USDT,193.69,8.01230658,0.0,0.0,-0.36565819,0.01283155,0.14314191,-0.39111729,0.7702,2025-10-24 08:46:21.025849
SOL-7NOV25-196-C-USDT,193.69,10.49451185,1.0,0.0,0.49819972,0.01377353,0.15183268,-0.40995725,0.7611,2025-10-24 08:46:21.356200
SOL-7NOV25-220-C-USDT,193.69,3.6588754,47.0,85.0,0.22729962,0.01008688,0.1148021,-0.32003406,0.7858,2025-10-24 08:46:21.683633
SOL-7NOV25-196-P-USDT,193.69,12.80451185,1.0,0.0,-0.50180029,0.01377353,0.15183268,-0.40995725,0.7611,2025-10-24 08:46:22.060986
SOL-7NOV25-160-C-USDT,193.66,35.54184139,0.0,0.0,0.8888878,0.00582214,0.07207157,-0.21859179,0.8549,2025-10-24 08:46:22.700467
SOL-7NOV25-202-P-USDT,193.66,16.44696417,0.0,0.0,-0.581807,0.0134598,0.14860757,-0.40200514,0.7625,2025-10-24 08:46:23.059663
SOL-7NOV25-208-P-USDT,193.66,20.56848768,1.0,0.0,-0.65476542,0.01261738,0.14023851,-0.38190427,0.7676,2025-10-24 08:46:23.391867
SOL-7NOV25-300-C-USDT,193.66,0.20999566,0.0,0.0,0.01642443,0.00107794,0.01557729,-0.05515426,0.998,2025-10-24 08:46:23.726136
SOL-7NOV25-200-P-USDT,193.66,15.18075225,0.0,0.0,-0.55583891,0.01363024,0.1503211,-0.40618645,0.7617,2025-10-24 08:46:24.062215
SOL-7NOV25-155-P-USDT,193.66,1.39836544,100.0,100.0,-0.08476213,0.00463513,0.05908993,-0.18456732,0.8804,2025-10-24 08:46:24.393937
SOL-7NOV25-204-C-USDT,193.66,7.42875843,12.0,0.0,0.39297854,0.0132297,0.14631467,-0.39647484,0.7638,2025-10-24 08:46:24.726781
SOL-7NOV25-230-C-USDT,193.66,2.38314653,157.0,174.0,0.15816198,0.00784178,0.09188984,-0.26382161,0.8093,2025-10-24 08:46:25.054154
SOL-7NOV25-120-C-USDT,193.66,73.83422879,0.0,0.0,0.98888766,0.0006861,0.01111815,-0.0441436,1.1191,2025-10-24 08:46:25.386071
SOL-7NOV25-260-P-USDT,193.66,67.0816757,0.0,0.0,-0.94494584,0.00328848,0.04236404,-0.13371811,0.8897,2025-10-24 08:46:25.715085
SOL-7NOV25-202-C-USDT,193.66,8.10696417,5.0,0.0,0.41819301,0.0134598,0.14860733,-0.40200646,0.7625,2025-10-24 08:46:26.350646
SOL-7NOV25-170-C-USDT,193.66,27.03204868,33.0,0.0,0.81500739,0.00863894,0.10157275,-0.29260749,0.812,2025-10-24 08:46:26.683498
SOL-7NOV25-240-P-USDT,193.66,47.91918286,0.0,0.0,-0.88989145,0.00592386,0.07160425,-0.21206263,0.8348,2025-10-24 08:46:27.064034
SOL-7NOV25-280-P-USDT,193.65,86.73056957,0.0,0.0,-0.97078771,0.00185051,0.02532533,-0.08492887,0.9453,2025-10-24 08:46:27.412379
SOL-7NOV25-216-P-USDT,193.65,26.72243572,0.0,0.0,-0.73771875,0.01098218,0.1239804,-0.34296856,0.7797,2025-10-24 08:46:27.742007
SOL-7NOV25-194-P-USDT,193.65,11.74263104,6.0,1.0,-0.47496174,0.01373212,0.15150342,-0.40958508,0.762,2025-10-24 08:46:28.084376
SOL-7NOV25-188-C-USDT,193.65,14.50576044,0.0,0.0,0.60713014,0.01317562,0.14629564,-0.39804232,0.7669,2025-10-24 08:46:28.416167
SOL-7NOV25-188-P-USDT,193.65,8.85576044,4.0,33.0,-0.39286987,0.01317562,0.14629564,-0.39804232,0.7669,2025-10-24 08:46:28.743972
SOL-7NOV25-230-P-USDT,193.65,38.7354093,0.0,0.0,-0.84177152,0.00784029,0.0919103,-0.26401807,0.8097,2025-10-24 08:46:29.122549
SOL-7NOV25-190-C-USDT,193.65,13.40492848,93.0,7.0,0.57995027,0.01343417,0.1487437,-0.40355669,0.7647,2025-10-24 08:46:29.456376
SOL-7NOV25-208-C-USDT,193.65,6.22908114,1.0,0.0,0.34518448,0.01261261,0.14022333,-0.38200928,0.7679,2025-10-24 08:46:30.120911
SOL-7NOV25-180-P-USDT,193.65,5.87283689,163.0,185.0,-0.29014611,0.01151876,0.13028154,-0.36107653,0.7812,2025-10-24 08:46:30.456898
SOL-7NOV25-192-P-USDT,193.65,10.71723659,3.0,2.0,-0.44747643,0.01362036,0.15048476,-0.40741345,0.7631,2025-10-24 08:46:30.792857
SOL-7NOV25-160-P-USDT,193.65,1.87675592,18.0,0.0,-0.11096975,0.00582295,0.07200142,-0.21816146,0.8541,2025-10-24 08:46:31.123726
SOL-7NOV25-140-P-USDT,193.64,0.56326292,27.0,0.0,-0.03589024,0.00214173,0.03001246,-0.10306777,0.968,2025-10-24 08:46:31.454473
SOL-7NOV25-210-P-USDT,193.64,22.062709,0.0,0.0,-0.67720478,0.01223995,0.13656144,-0.3733886,0.7707,2025-10-24 08:46:31.788595
SOL-7NOV25-320-P-USDT,193.64,126.48370223,0.0,0.0,-0.9902347,0.00065438,0.00993279,-0.03694862,1.0485,2025-10-24 08:46:32.128515
SOL-7NOV25-100-C-USDT,193.63,93.6810406,0.0,0.0,0.99682413,0.00019587,0.00366425,-0.01680145,1.2924,2025-10-24 08:46:32.456270
SOL-7NOV25-240-C-USDT,193.63,1.58495845,30.0,14.0,0.11032786,0.00592425,0.07169522,-0.21265605,0.8361,2025-10-24 08:46:32.788996
SOL-7NOV25-140-C-USDT,193.63,54.18951444,0.0,0.0,0.96426819,0.00213712,0.02990232,-0.1025442,0.9666,2025-10-24 08:46:33.117328
SOL-7NOV25-178-P-USDT,193.65,5.27186811,10.0,11.0,-0.26671835,0.01098571,0.12504299,-0.348764,0.7862,2025-10-24 08:46:33.751119
SOL-7NOV25-200-C-USDT,193.65,8.83889959,13.0,10.0,0.44405073,0.01362733,0.15030681,-0.40624469,0.7618,2025-10-24 08:46:34.102547
SOL-7NOV25-216-C-USDT,193.64,4.37431683,0.0,0.0,0.26229129,0.01097785,0.12397607,-0.34311933,0.7801,2025-10-24 08:46:34.433248
SOL-7NOV25-100-P-USDT,193.64,0.05185988,10.0,0.0,-0.00321668,0.00019777,0.00370677,-0.01702683,1.2947,2025-10-24 08:46:34.760480
SOL-7NOV25-198-P-USDT,193.64,13.98715115,2.0,2.0,-0.52949234,0.01373117,0.15137925,-0.40898933,0.7615,2025-10-24 08:46:35.088017
SOL-7NOV25-260-C-USDT,193.65,0.74273643,80.0,50.0,0.05510562,0.00328967,0.04239296,-0.13386823,0.8901,2025-10-24 08:46:35.418704
SOL-7NOV25-204-P-USDT,193.65,17.77828053,0.0,0.0,-0.60710366,0.01322553,0.14629796,-0.39655738,0.764,2025-10-24 08:46:35.771843
SOL-7NOV25-120-P-USDT,193.64,0.17037156,2.0,0.0,-0.01092743,0.00067847,0.01095585,-0.04335619,1.1154,2025-10-24 08:46:36.482985
SOL-7NOV25-280-C-USDT,193.64,0.38109278,11.0,0.0,0.0292409,0.00185148,0.02534452,-0.08502311,0.9456,2025-10-24 08:46:36.853941
SOL-7NOV25-155-C-USDT,193.63,40.02832526,0.0,0.0,0.91556664,0.00463258,0.05891156,-0.18359729,0.8784,2025-10-24 08:46:37.185466
SOL-7NOV25-300-P-USDT,193.63,106.58069202,0.0,0.0,-0.98353498,0.00107956,0.01560774,-0.05530529,0.9988,2025-10-24 08:46:38.174011
SOL-7NOV25-198-C-USDT,193.63,9.62449965,7.0,5.0,0.47038622,0.01372912,0.15136775,-0.40903313,0.7617,2025-10-24 08:46:38.501100
SOL-7NOV25-320-C-USDT,193.63,0.1237983,4.0,0.0,0.0097711,0.00065463,0.0099374,-0.03697296,1.0487,2025-10-24 08:46:38.834279
SOL-7NOV25-220-P-USDT,193.63,30.04189166,0.0,0.0,-0.77250181,0.01006522,0.1148222,-0.3210428,0.7881,2025-10-24 08:46:39.163175
SOL-7NOV25-180-C-USDT,193.63,19.50095603,33.0,16.0,0.7097267,0.01153102,0.13029436,-0.36084338,0.7806,2025-10-24 08:46:39.846486
SOL-7NOV25-210-C-USDT,193.63,5.70372242,2.0,0.0,0.32276127,0.01223512,0.13654799,-0.37350599,0.771,2025-10-24 08:46:40.179055
SOL-7NOV25-194-C-USDT,193.63,11.38381351,2.0,0.0,0.52476869,0.01373212,0.15149337,-0.4096241,0.7622,2025-10-24 08:46:40.512463
SOL-7NOV25-206-P-USDT,193.63,19.173814,2.0,0.0,-0.63156992,0.01293289,0.14345464,-0.39000455,0.7663,2025-10-24 08:46:40.836831
SOL-26OCT25-170-C-USDT,193.2136726,23.42568246,0.0,0.0,0.9621927,0.00579303,0.01204064,-0.27941556,0.9713,2025-10-24 08:46:41.168701
